date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:45	268038/268038	---MCZ	200	added ('OK')	application/javascript	etag:%2241706-5bcdde1f34fc1-gzip%22	https://preview.colorlib.com/theme/moose/js/jquery.min.js	preview.colorlib.com/theme/moose/js/jquery.min.js	(from https://preview.colorlib.com/theme/moose/)
16:12:45	11421/11421	---M-Z	200	added ('OK')	application/javascript	etag:%222c9d-5bcdde23847c7-gzip%22	https://preview.colorlib.com/theme/moose/js/jquery-migrate-3.0.1.min.js	preview.colorlib.com/theme/moose/js/jquery-migrate-3.0.1.min.js	(from https://preview.colorlib.com/theme/moose/)
16:12:46	19032/19032	---M-Z	200	added ('OK')	application/javascript	etag:%224a58-5bcdde21c057f-gzip%22	https://preview.colorlib.com/theme/moose/js/popper.min.js	preview.colorlib.com/theme/moose/js/popper.min.js	(from https://preview.colorlib.com/theme/moose/)
16:12:49	60044/60044	---M-Z	200	added ('OK')	application/javascript	etag:%22ea8c-5bcdde20bb9ad-gzip%22	https://preview.colorlib.com/theme/moose/js/bootstrap.min.js	preview.colorlib.com/theme/moose/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/moose/)
16:12:50	8111/8111	---M-Z	200	added ('OK')	application/javascript	etag:%221faf-5bcdde1e6306c-gzip%22	https://preview.colorlib.com/theme/moose/js/jquery.easing.1.3.js	preview.colorlib.com/theme/moose/js/jquery.easing.1.3.js	(from https://preview.colorlib.com/theme/moose/)
16:12:50	8835/8835	---M-Z	200	added ('OK')	application/javascript	etag:%222283-5bcdde22a1ed3-gzip%22	https://preview.colorlib.com/theme/moose/js/jquery.waypoints.min.js	preview.colorlib.com/theme/moose/js/jquery.waypoints.min.js	(from https://preview.colorlib.com/theme/moose/)
16:12:51	12597/12597	---M-Z	200	added ('OK')	application/javascript	etag:%223135-5bcdde2176203-gzip%22	https://preview.colorlib.com/theme/moose/js/jquery.stellar.min.js	preview.colorlib.com/theme/moose/js/jquery.stellar.min.js	(from https://preview.colorlib.com/theme/moose/)
16:12:52	43237/43237	---M-Z	200	added ('OK')	application/javascript	etag:%22a8e5-5bcdde206a8d1-gzip%22	https://preview.colorlib.com/theme/moose/js/owl.carousel.min.js	preview.colorlib.com/theme/moose/js/owl.carousel.min.js	(from https://preview.colorlib.com/theme/moose/)
16:12:53	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%224ef8-5bcdde1ca9a03-gzip%22	https://preview.colorlib.com/theme/moose/js/jquery.magnific-popup.min.js	preview.colorlib.com/theme/moose/js/jquery.magnific-popup.min.js	(from https://preview.colorlib.com/theme/moose/)
16:12:54	1391/1391	---M-Z	200	added ('OK')	application/javascript	etag:%2256f-5bcdde23411ab-gzip%22	https://preview.colorlib.com/theme/moose/js/jquery.animateNumber.min.js	preview.colorlib.com/theme/moose/js/jquery.animateNumber.min.js	(from https://preview.colorlib.com/theme/moose/)
16:12:55	7447/7447	---M-Z	200	added ('OK')	application/javascript	etag:%221d17-5bcdde225c977-gzip%22	https://preview.colorlib.com/theme/moose/js/scrollax.min.js	preview.colorlib.com/theme/moose/js/scrollax.min.js	(from https://preview.colorlib.com/theme/moose/)
16:12:56	1946/1946	---M-Z	200	added ('OK')	application/javascript	etag:%2279a-5bcdde1d90177-gzip%22	https://preview.colorlib.com/theme/moose/js/google-map.js	preview.colorlib.com/theme/moose/js/google-map.js	(from https://preview.colorlib.com/theme/moose/)
16:12:57	3918/3918	---M-Z	200	added ('OK')	application/javascript	etag:%22f4e-5bcdde1f6e99e-gzip%22	https://preview.colorlib.com/theme/moose/js/main.js	preview.colorlib.com/theme/moose/js/main.js	(from https://preview.colorlib.com/theme/moose/)
16:12:59	8926/8926	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2222de-5bcdf461f6d58%22	https://preview.colorlib.com/theme/moose/fonts/flaticon/font/Flaticon.eot	preview.colorlib.com/theme/moose/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/moose/css/flaticon.css)
16:13:00	8926/8926	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2222de-5bcdf461f6d58%22	https://preview.colorlib.com/theme/moose/fonts/flaticon/font/Flaticon.eot?	preview.colorlib.com/theme/moose/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/moose/css/flaticon.css)
16:13:00	5848/5848	---M--	200	added ('OK')	font/woff	etag:%2216d8-5bcdf461f0f99%22	https://preview.colorlib.com/theme/moose/fonts/flaticon/font/Flaticon.woff	preview.colorlib.com/theme/moose/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/moose/css/flaticon.css)
16:13:02	8748/8748	---MCZ	200	added ('OK')	font/ttf	etag:W/%22222c-5bcdf462f8a4d%22	https://preview.colorlib.com/theme/moose/fonts/flaticon/font/Flaticon.ttf	preview.colorlib.com/theme/moose/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/moose/css/flaticon.css)
16:13:03	58133/58133	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e315-5bcdf464f4737%22	https://preview.colorlib.com/theme/moose/fonts/flaticon/font/Flaticon.svg	preview.colorlib.com/theme/moose/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/moose/css/flaticon.css)
16:13:04	113087/113087	---M--	200	added ('OK')	image/jpeg	etag:%221b9bf-5bcdde13d6dd9%22	https://preview.colorlib.com/theme/moose/images/image_4.jpg	preview.colorlib.com/theme/moose/images/image_4.jpg	(from https://preview.colorlib.com/theme/moose/blog.html)
16:13:05	118558/118558	---M--	200	added ('OK')	image/jpeg	etag:%221cf1e-5bcdde0ff5b6d%22	https://preview.colorlib.com/theme/moose/images/image_9.jpg	preview.colorlib.com/theme/moose/images/image_9.jpg	(from https://preview.colorlib.com/theme/moose/blog.html)
16:13:06	262327/262327	---M--	200	added ('OK')	image/jpeg	etag:%22400b7-5bcdde0dcef09%22	https://preview.colorlib.com/theme/moose/images/image_10.jpg	preview.colorlib.com/theme/moose/images/image_10.jpg	(from https://preview.colorlib.com/theme/moose/blog.html)
16:13:07	288055/288055	---M--	200	added ('OK')	image/jpeg	etag:%2246537-5bcdde0ec8efc%22	https://preview.colorlib.com/theme/moose/images/image_11.jpg	preview.colorlib.com/theme/moose/images/image_11.jpg	(from https://preview.colorlib.com/theme/moose/blog.html)
16:13:09	443292/443292	---M--	200	added ('OK')	image/jpeg	etag:%226c39c-5bcdde0d15653%22	https://preview.colorlib.com/theme/moose/images/image_12.jpg	preview.colorlib.com/theme/moose/images/image_12.jpg	(from https://preview.colorlib.com/theme/moose/blog.html)
